Friday, December 5
Testing two additional boards
Board 1, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0999645389616,+4.99825120E-01,+5.00044190E+00,35.7512633952
2.0,1.616,0.0767745360732,+3.83874870E-01,+5.00044690E+00,27.5144276897
2.0,1.732,0.0535689085722,+2.67847260E-01,+5.00044440E+00,17.8747466117
2.0,1.848,0.03037747778,+1.51888900E-01,+5.00044570E+00,10.2054910245
2.0,1.964,0.00717047229409,+3.58514880E-02,+5.00044570E+00,3.6391211343
2.0,2.08,-0.0160204775631,-8.01029420E-02,+5.00045190E+00,-5.72423858336
2.0,2.196,-0.039210171625,-1.96055890E-01,+5.00045190E+00,-10.3345857517
2.0,2.312,-0.0624158829451,-3.12090070E-01,+5.00045070E+00,-13.7306027568
2.0,2.428,-0.0856058239937,-4.28045240E-01,+5.00045450E+00,-17.6514510857
2.0,2.544,-0.108812382072,-5.44084540E-01,+5.00045820E+00,-20.6994278301
2.0,2.66,-0.132001458853,-6.60037540E-01,+5.00045450E+00,-21.8288199674
2.0,2.776,-0.155206675828,-7.76073340E-01,+5.00045450E+00,-21.2681441263
2.0,2.892,-0.178395027667,-8.92025180E-01,+5.00045700E+00,-20.7811260146
2.0,3.008,-0.20158286728,-1.00799490E+00,+5.00045820E+00,0.293348027203
2.0,3.124,-0.224786312133,-1.12402800E+00,+5.00046200E+00,6.07529649188
2.0,3.24,-0.247978177294,-1.23999130E+00,+5.00045700E+00,1.966243522
2.0,3.356,-0.271181998402,-1.35602070E+00,+5.00045950E+00,2.37084568799
2.0,3.472,-0.294370128959,-1.47197900E+00,+5.00045450E+00,12.2262382549
2.0,3.588,-0.317558886483,-1.58794110E+00,+5.00045700E+00,20.5967702844
2.0,3.704,-0.340762317553,-1.70397030E+00,+5.00045950E+00,22.5777680563
2.0,3.82,-0.363950312138,-1.81993360E+00,+5.00045820E+00,37.1143771678
2.0,3.936,-0.387152187899,-1.93596660E+00,+5.00045820E+00,51.4965895502
2.0,4.052,-0.410340294987,-2.05192500E+00,+5.00045950E+00,59.5942133477
2.0,4.168,-0.433525941893,-2.16788060E+00,+5.00045950E+00,77.697020358
2.0,4.284,-0.456727630645,-2.28391250E+00,+5.00045570E+00,93.6197374104
2.0,4.4,-0.479916255549,-2.39988180E+00,+5.00046200E+00,107.596048974
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.200008334965,-1.00003810E+00,+5.00046200E+00,-83.9781204269
1.04,1.96,-0.184001034126,-9.19992090E-01,+5.00046200E+00,-87.0489955749
1.08,1.92,-0.168013479933,-8.40054600E-01,+5.00045450E+00,-79.0809543152
1.12,1.88,-0.152023398504,-7.60106130E-01,+5.00046450E+00,-72.3559383093
1.16,1.84,-0.136001453176,-6.79995920E-01,+5.00046200E+00,-66.0184289796
1.2,1.8,-0.120009147748,-6.00036910E-01,+5.00046330E+00,-57.2283974907
1.24,1.76,-0.104018942639,-5.20087210E-01,+5.00046450E+00,-49.578827877
1.28,1.72,-0.0880296971649,-4.40142920E-01,+5.00046330E+00,-41.0681767213
1.32,1.68,-0.0720129303634,-3.60060610E-01,+5.00046330E+00,-33.0846117659
1.36,1.64,-0.0560195434839,-2.80094670E-01,+5.00046830E+00,-25.9201798485
1.4,1.6,-0.0400301609188,-2.00148730E-01,+5.00046200E+00,-18.1667082814
1.44,1.56,-0.0240101035684,-1.20049890E-01,+5.00046330E+00,-10.3111102301
1.48,1.52,-0.00801972560585,-4.00973720E-02,+5.00046580E+00,-4.51043139542
1.52,1.48,0.00797114335001,+3.98540370E-02,+5.00046330E+00,4.89450991027
1.56,1.44,0.0239625014365,+1.19813100E-01,+5.00046200E+00,9.04010161158
1.6,1.4,0.0399800289422,+1.99895780E-01,+5.00046200E+00,20.4366722178
1.64,1.36,0.0559702202678,+2.79845690E-01,+5.00046070E+00,27.8385922228
1.68,1.32,0.0719621405005,+3.59805370E-01,+5.00046950E+00,34.8009737901
1.72,1.28,0.087984848395,+4.39916760E-01,+5.00046450E+00,43.0718202602
1.76,1.24,0.103972605988,+5.19854040E-01,+5.00046700E+00,51.3067588696
1.8,1.2,0.11996448189,+5.99812320E-01,+5.00046830E+00,59.0709082272
1.84,1.16,0.135953469947,+6.79756970E-01,+5.00046950E+00,66.0526327224
1.88,1.12,0.151975374669,+7.59863720E-01,+5.00047330E+00,75.9647058096
1.92,1.08,0.167961085588,+8.39793970E-01,+5.00046830E+00,80.0363929105
1.96,1.04,0.183952492476,+9.19748240E-01,+5.00046950E+00,89.5508581036
2.0,1.0,0.1999572061,+9.99772650E-01,+5.00046450E+00,94.2631322123
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.199995394424,-1.00005180E+00,+5.00046700E+00,-6.57017875771
2.04,2.96,-0.183991996571,-9.20018770E-01,+5.00046450E+00,-15.6375656323
2.08,2.92,-0.16800442189,-8.40071680E-01,+5.00046950E+00,-19.2272002053
2.12,2.88,-0.152013878897,-7.60115350E-01,+5.00046700E+00,-15.9140836252
2.16,2.84,-0.135995176435,-6.80018360E-01,+5.00046830E+00,-13.0489569428
2.2,2.8,-0.120007447153,-6.00074060E-01,+5.00046700E+00,-12.0187587617
2.24,2.76,-0.104019704461,-5.20129970E-01,+5.00046700E+00,-10.8882915048
2.28,2.72,-0.0880304526538,-4.40180690E-01,+5.00046450E+00,-7.18156104812
2.32,2.68,-0.0720099125057,-3.60073450E-01,+5.00046830E+00,-5.51415155303
2.36,2.64,-0.0560215275735,-2.80125080E-01,+5.00046950E+00,-5.49866304295
2.4,2.6,-0.0400313768536,-2.00169920E-01,+5.00046200E+00,-3.056870854
2.44,2.56,-0.0240134131163,-1.20076570E-01,+5.00046450E+00,-0.209000225571
2.48,2.52,-0.00802455954254,-4.01243980E-02,+5.00046950E+00,-1.6857669759
2.52,2.48,0.00796364694834,+3.98197070E-02,+5.00046700E+00,1.76894341575
2.56,2.44,0.0239513549954,+1.19764740E-01,+5.00046950E+00,1.84304824215
2.6,2.4,0.039971056208,+1.99868230E-01,+5.00046700E+00,3.31924699959
2.64,2.36,0.055959578231,+2.79816770E-01,+5.00046580E+00,3.82953440786
2.68,2.32,0.0719483491033,+3.59764860E-01,+5.00046700E+00,6.16847143359
2.72,2.28,0.0879675146192,+4.39866150E-01,+5.00046700E+00,7.22584610713
2.76,2.24,0.103957783803,+5.19818640E-01,+5.00046450E+00,12.3299097065
2.8,2.2,0.119945409149,+5.99763950E-01,+5.00046950E+00,12.2133472471
2.84,2.16,0.135933370516,+6.79708970E-01,+5.00046950E+00,13.5472456307
2.88,2.12,0.151953110471,+7.59811740E-01,+5.00046950E+00,16.0371017907
2.92,2.08,0.167945346609,+8.39777890E-01,+5.00046950E+00,17.6166037787
2.96,2.04,0.183932326362,+9.19714830E-01,+5.00046580E+00,21.4414887818
3.0,2.0,0.199933934584,+9.99735750E-01,+5.00046830E+00,15.5558788989
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.199974090606,-1.00012540E+00,+5.00046700E+00,173.557580038
4.04,4.96,-0.183972003683,-9.20086700E-01,+5.00046950E+00,151.345112373
4.08,4.92,-0.167987284064,-8.40140240E-01,+5.00046950E+00,135.028945173
4.12,4.88,-0.152000400797,-7.60185030E-01,+5.00046830E+00,120.964305307
4.16,4.84,-0.135985013843,-6.80090780E-01,+5.00047080E+00,109.848193655
4.2,4.8,-0.119999661669,-6.00144740E-01,+5.00046830E+00,97.4358332134
4.24,4.76,-0.104012616351,-5.20190800E-01,+5.00047210E+00,84.8546846296
4.28,4.72,-0.0880266033113,-4.40240030E-01,+5.00047210E+00,70.737714179
4.32,4.68,-0.0720111276954,-3.60143510E-01,+5.00047210E+00,58.1957648068
4.36,4.64,-0.0560249261558,-2.80193140E-01,+5.00047460E+00,45.2813098474
4.4,4.6,-0.0400380868465,-2.00238350E-01,+5.00046950E+00,31.5201852545
4.44,4.56,-0.0240223292261,-1.20138890E-01,+5.00046950E+00,17.406734004
4.48,4.52,-0.00803495422006,-4.01822000E-02,+5.00047840E+00,4.06707857384
4.52,4.48,0.00795028209686,+3.97635990E-02,+5.00047080E+00,-8.9225427388
4.56,4.44,0.0239380192012,+1.19722480E-01,+5.00047580E+00,-22.4305761016
4.6,4.4,0.0399552077055,+1.99828090E-01,+5.00047210E+00,-35.5859468053
4.64,4.36,0.055944025889,+2.79791090E-01,+5.00047460E+00,-47.7661848972
4.68,4.32,0.0719296369702,+3.59738550E-01,+5.00047080E+00,-60.8164809036
4.72,4.28,0.0879435192794,+4.39826260E-01,+5.00047460E+00,-72.2022566139
4.76,4.24,0.103929711506,+5.19778620E-01,+5.00047210E+00,-87.2330770654
4.8,4.2,0.119916918501,+5.99732790E-01,+5.00047710E+00,-98.180200386
4.84,4.16,0.13590047881,+6.79670830E-01,+5.00047580E+00,-111.928588929
4.88,4.12,0.151917494833,+7.59773590E-01,+5.00047330E+00,-123.328392739
4.92,4.08,0.167904200777,+8.39727660E-01,+5.00047840E+00,-136.405072701
4.96,4.04,0.183890287578,+9.19679560E-01,+5.00047460E+00,-151.881272585
5.0,4.0,0.199892579764,+9.99719670E-01,+5.00047840E+00,-173.13621609
>>> 

Board 1, Common Mode Control circuit active
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0499834604561,+4.99864640E-01,+5.00048840E+00,12.790332192
2.0,1.616,0.0383883751929,+3.83906530E-01,+5.00048970E+00,10.2128526614
2.0,1.732,0.0267857909203,+2.67872690E-01,+5.00049090E+00,8.30316447209
2.0,1.848,0.0151900175959,+1.51907720E-01,+5.00048840E+00,5.47074830481
2.0,1.964,0.00358617976308,+3.58633130E-02,+5.00048970E+00,1.56658939807
2.0,2.08,-0.0080094832927,-8.00982690E-02,+5.00049220E+00,-3.48731431341
2.0,2.196,-0.0196043625474,-1.96057880E-01,+5.00049090E+00,-2.64048967288
2.0,2.312,-0.0312074758112,-3.12096810E-01,+5.00048970E+00,-4.76777992175
2.0,2.428,-0.0428025089204,-4.28058580E-01,+5.00048970E+00,-3.29362942725
2.0,2.544,-0.0544063128531,-5.44102120E-01,+5.00048840E+00,-7.62379663877
2.0,2.66,-0.0660015702248,-6.60060350E-01,+5.00048970E+00,-12.0739183511
2.0,2.776,-0.0776050250977,-7.76100640E-01,+5.00048840E+00,-16.1028726434
2.0,2.892,-0.0892004515976,-8.92056100E-01,+5.00048840E+00,-24.8428190363
2.0,3.008,-0.100796281919,-1.00802980E+00,+5.00049090E+00,-19.8853014688
2.0,3.124,-0.112399699911,-1.12406420E+00,+5.00048970E+00,-29.395282797
2.0,3.24,-0.12399620302,-1.24003620E+00,+5.00048840E+00,-32.0700048766
2.0,3.356,-0.135599067062,-1.35607180E+00,+5.00048720E+00,-34.7263106999
2.0,3.472,-0.14719465822,-1.47203130E+00,+5.00048970E+00,-41.7811118587
2.0,3.588,-0.158790672198,-1.58799840E+00,+5.00048720E+00,-43.9925498432
2.0,3.704,-0.170394067466,-1.70403640E+00,+5.00048590E+00,-49.4161415683
2.0,3.82,-0.181989488006,-1.82000100E+00,+5.00048720E+00,-49.3716687937
2.0,3.936,-0.193592141196,-1.93603520E+00,+5.00048590E+00,-51.1135339456
2.0,4.052,-0.205187277868,-2.05200480E+00,+5.00048970E+00,-44.3163857748
2.0,4.168,-0.216781007871,-2.16795920E+00,+5.00048840E+00,-36.6164260708
2.0,4.284,-0.228383364901,-2.28399850E+00,+5.00048840E+00,-30.8276112464
2.0,4.4,-0.23998083584,-2.39996910E+00,+5.00049090E+00,-46.0735922525
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.100000657141,-1.00007050E+00,+5.00048840E+00,-21.7518589745
1.04,1.96,-0.091996730864,-9.20023880E-01,+5.00048970E+00,-22.4905212605
1.08,1.92,-0.0840029936284,-8.40082020E-01,+5.00048720E+00,-19.6883464326
1.12,1.88,-0.0760085739195,-7.60129440E-01,+5.00048970E+00,-21.6208731181
1.16,1.84,-0.0679976053536,-6.80017110E-01,+5.00049090E+00,-17.5437891734
1.2,1.8,-0.0600014775991,-6.00054240E-01,+5.00049090E+00,-12.2451915434
1.24,1.76,-0.0520067282021,-5.20101920E-01,+5.00048590E+00,-9.6612948427
1.28,1.72,-0.0440126758069,-4.40153020E-01,+5.00048840E+00,-11.4480783107
1.32,1.68,-0.0360043287277,-3.60067100E-01,+5.00049220E+00,-7.30937387167
1.36,1.64,-0.0280082218349,-2.80099030E-01,+5.00048840E+00,-7.18576091652
1.4,1.6,-0.0200136557221,-2.00148850E-01,+5.00049090E+00,-4.95496546746
1.44,1.56,-0.0120040882379,-1.20048020E-01,+5.00048840E+00,-3.14746767609
1.48,1.52,-0.00400917492807,-4.00932470E-02,+5.00048840E+00,-1.93733711287
1.52,1.48,0.0039858803153,+3.98618370E-02,+5.00048590E+00,0.361321500143
1.56,1.44,0.0119813270867,+1.19821460E-01,+5.00048840E+00,2.07645400246
1.6,1.4,0.019989740476,+1.99909370E-01,+5.00048840E+00,5.1619465441
1.64,1.36,0.0279844366014,+2.79862520E-01,+5.00048840E+00,5.82304677993
1.68,1.32,0.0359801746905,+3.59824320E-01,+5.00048460E+00,7.98123068735
1.72,1.28,0.0439912881702,+4.39937580E-01,+5.00048970E+00,13.10776277
1.76,1.24,0.0519848577678,+5.19877850E-01,+5.00048720E+00,15.1434817971
1.8,1.2,0.0599804837257,+5.99840240E-01,+5.00048840E+00,15.9884654589
1.84,1.16,0.067974730581,+6.79787510E-01,+5.00048840E+00,18.0364806608
1.88,1.12,0.0759852737188,+7.59897000E-01,+5.00049090E+00,21.2212044146
1.92,1.08,0.0839779525995,+8.39829000E-01,+5.00048970E+00,22.6965475584
1.96,1.04,0.0919732462615,+9.19786510E-01,+5.00048840E+00,24.7551853448
2.0,1.0,0.0999756149948,+9.99813910E-01,+5.00048970E+00,28.1588719293
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.100001434982,-1.00007800E+00,+5.00048720E+00,-21.7909310065
2.04,2.96,-0.0919990725815,-9.20046190E-01,+5.00048840E+00,-23.3605138273
2.08,2.92,-0.0840048894286,-8.40097230E-01,+5.00048840E+00,-23.6395778466
2.12,2.88,-0.0760093282908,-7.60136050E-01,+5.00048720E+00,-22.175192197
2.16,2.84,-0.0679997827858,-6.80034940E-01,+5.00049090E+00,-21.4899874763
2.2,2.8,-0.0600056167692,-6.00088140E-01,+5.00048590E+00,-19.1404102136
2.24,2.76,-0.0520114395767,-5.20142060E-01,+5.00048590E+00,-16.6390543911
2.28,2.72,-0.0440161891282,-4.40185800E-01,+5.00048460E+00,-13.4697823016
2.32,2.68,-0.0360056247562,-3.60076690E-01,+5.00048840E+00,-10.4071396407
2.36,2.64,-0.028011213243,-2.80127450E-01,+5.00048590E+00,-8.5423506625
2.4,2.6,-0.0200160890818,-2.00170290E-01,+5.00049090E+00,-7.85065876338
2.44,2.56,-0.0120064452291,-1.20071080E-01,+5.00048720E+00,-3.63058373898
2.48,2.52,-0.00401162952185,-4.01176570E-02,+5.00048840E+00,-2.07537798253
2.52,2.48,0.00398258566856,+3.98285660E-02,+5.00048970E+00,0.713315011981
2.56,2.44,0.0119772128761,+1.19776330E-01,+5.00048840E+00,6.06082289538
2.6,2.4,0.0199870470911,+1.99881570E-01,+5.00048590E+00,5.92585596082
2.64,2.36,0.0279820486903,+2.79833600E-01,+5.00048720E+00,10.7947338963
2.68,2.32,0.035976607725,+3.59783310E-01,+5.00048840E+00,13.5919659542
2.72,2.28,0.0439864844084,+4.39888340E-01,+5.00048840E+00,14.1916525369
2.76,2.24,0.0519820317626,+5.19845440E-01,+5.00048720E+00,19.2910150574
2.8,2.2,0.0599761914462,+5.99794120E-01,+5.00048840E+00,19.1819930201
2.84,2.16,0.0679704643786,+6.79737890E-01,+5.00049090E+00,25.3306491297
2.88,2.12,0.0759804286063,+7.59843650E-01,+5.00048840E+00,25.7360056961
2.92,2.08,0.0839764863253,+8.39812550E-01,+5.00048720E+00,24.0626674358
2.96,2.04,0.091970520094,+9.19754230E-01,+5.00048720E+00,29.5504485638
3.0,2.0,0.099972005561,+9.99777010E-01,+5.00049090E+00,29.2013622188
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.100009526685,-1.00015530E+00,+5.00048590E+00,-25.1548534718
4.04,4.96,-0.0920061104,-9.20107270E-01,+5.00048720E+00,-32.443916125
4.08,4.92,-0.0840115781873,-8.40157810E-01,+5.00048970E+00,-30.1713235586
4.12,4.88,-0.0760164249688,-7.60201490E-01,+5.00048970E+00,-28.0881133407
4.16,4.84,-0.0680067356676,-6.80102750E-01,+5.00048840E+00,-22.8747679936
4.2,4.8,-0.0600122720003,-6.00154590E-01,+5.00048590E+00,-19.2483903141
4.24,4.76,-0.052017083019,-5.20197660E-01,+5.00048840E+00,-17.7383664947
4.28,4.72,-0.0440222162753,-4.40244520E-01,+5.00048970E+00,-15.4753935055
4.32,4.68,-0.0360124636441,-3.60144510E-01,+5.00048590E+00,-10.8018183335
4.36,4.64,-0.0280180476606,-2.80192520E-01,+5.00048840E+00,-11.9624365849
4.4,4.6,-0.020022444427,-2.00234240E-01,+5.00048840E+00,-7.35947726299
4.44,4.56,-0.0120126072317,-1.20132790E-01,+5.00049090E+00,-3.63476760083
4.48,4.52,-0.00401702933013,-4.01727310E-02,+5.00048720E+00,-0.994446653489
4.52,4.48,0.00397731103003,+3.97738780E-02,+5.00048720E+00,2.63051034147
4.56,4.44,0.0119729597121,+1.19735820E-01,+5.00048590E+00,3.97567537166
4.6,4.4,0.0199835952371,+1.99844300E-01,+5.00048590E+00,8.67437576987
4.64,4.36,0.0279797717929,+2.79809540E-01,+5.00048720E+00,12.0838142135
4.68,4.32,0.0359742183238,+3.59759750E-01,+5.00048720E+00,13.1695696557
4.72,4.28,0.0439829185605,+4.39850440E-01,+5.00048840E+00,16.4301185857
4.76,4.24,0.0519777532667,+5.19802560E-01,+5.00048720E+00,19.3824004374
4.8,4.2,0.0599729724228,+5.99758960E-01,+5.00048970E+00,22.3049293528
4.84,4.16,0.0679664928466,+6.79700000E-01,+5.00048720E+00,22.9989605842
4.88,4.12,0.0759768553078,+7.59803760E-01,+5.00048840E+00,29.8899595553
4.92,4.08,0.0839720811695,+8.39760820E-01,+5.00048970E+00,32.1572012644
4.96,4.04,0.091967240721,+9.19714210E-01,+5.00048720E+00,36.7739161738
5.0,4.0,0.0999706685543,+9.99754450E-01,+5.00048840E+00,37.8902957618

